Name,Symbol,Atomic_Number,Atomic_Weight,Density,Melting_Point,Boiling_Point,Phase,Absolute_Melting_Point,Absolute_Boiling_Point,Critical_Pressure,Critical_Temperature,Heat_of_Fusion,Heat_of_Vaporization,Specific_Heat,Adiabatic_Index,Neel_Point,Thermal_Conductivity,Thermal_Expansion,Density_Liquid,Molar_Volume,Brinell_Hardness,Mohs_Hardness,Vickers_Hardness,Bulk_Modulus,Shear_Modulus,Young_Modulus,Poisson_Ratio,Refractive_Index,Speed_of_Sound,Valence,Electronegativity,ElectronAffinity,DOT_Hazard_Class,DOT_Numbers,RTECS_Number,Alternate_Names,Block,Group,Period,Series,Electron_Configuration,Color,Gas_phase,CAS_Number,CID_Number,Electrical_Type,Electrical_Conductivity,Resistivity,Superconducting_Point,Magnetic_Type,Curie_Point,Mass_Magnetic_Susceptibility,Molar_Magnetic_Susceptibility,Volume_Magnetic_Susceptibility,Percent_in_Universe,Percent_in_Sun,Percent_in_Meteorites,Percent_in_Earths_Crust,Percent_in_Oceans,Percent_in_Humans,Atomic_Radius,Covalent_Radius,Van_der_Waals_Radius,Space_Group_Name,Space_Group_Number,HalfLife,Lifetime,Decay_Mode,Quantum_Numbers,Neutron_Cross_Section,Neutron_Mass_Absorption,Autoignition_Point,Flashpoint,Heat_of_Combustion,Gmelin_Number,Production,Price,IUPAC_Period,IUPAC_Group,IUPAC_Number,IUPAC_Series
Sodium,Na,11,22.98977,968,370.87,1156.15,Solid,370.87,1156,35000000,2573,2.6,97.7,1230,,NA,140,7e-5,927,2.375e-5,690000,0.5,NA,6300000000,3300000000,10000000000,NA,NA,3200,1,0.93,52.8,4.3,1428,RTECSVY0686000,Natrium,s,1,3,Alkali Metal,[Ne]3s1,Silver,,CAS7440-23-5,CID5360545,Conductor,21000000,4.699999999998e-8,NA,Paramagnetic,NA,NA,NA,8.6e-6,0.002,0.004,0.55,2.3,1.1,0.14,1.9e-10,1.66e-10,2.27e-10,"Im_
3m",229,Inf,Inf,,2S1/2,0.53,7e-4,388.15,NA,NA,Gmelin563,100000000000,NA,3,1,11,Alkali Metal
Magnesium,Mg,12,24.305,1738,923.15,1363.15,Solid,923,1363,NA,NA,8.7,128,1020,,NA,160,2.48e-5,1584,1.3984e-5,260000000,2.5,NA,45000000000,17000000000,45000000000,0.29,NA,4602,2,1.31,0,4.1,2950,,,s,2,3,Alkaline Earth Metal,[Ne]3s2,Silver,,CAS7439-95-4,CID5462224,Conductor,23000000,4.399999999999e-8,NA,Paramagnetic,NA,NA,NA,1.2e-5,0.059,0.07,12,2.9,0.13,0.027,1.45e-10,1.41e-10,1.73e-10,P63/mmc,194,Inf,Inf,,1S0,0.063,1e-4,745.15,NA,-668,Gmelin16207,7079457844,3.162,3,2,12,Alkaline Earth Metal
Aluminum,Al,13,26.981538,2700,933.47,2792.15,Solid,933.47,2792,NA,NA,10.7,293,904,,NA,235,2.31e-5,2375,9.99e-6,245000000,2.75,167000000,76000000000,26000000000,70000000000,0.35,NA,5100,3,1.61,42.5,4.3,1396,RTECSBD0330000,Aluminium,p,13,3,Poor Metal,[Ne]3s23p1,Silver,,CAS7429-90-5,CID5359268,Conductor,38000000,2.6e-8,1.175,Paramagnetic,NA,NA,NA,2.11e-5,0.005,0.006,0.9,8.1,5e-7,9e-5,1.18e-10,1.21e-10,NA,"Fm_
3m",225,Inf,Inf,,2P1/2,0.233,0.03,673.15,NA,NA,Gmelin16248,39810717055,1.995,3,13,13,Poor Metal
Silicon,Si,14,28.0855,2330,1687.15,3173.15,Solid,1687,3173,NA,NA,50.2,359,710,,NA,150,2.6e-6,2570,1.2054e-5,NA,6.5,9630130300,100000000000,NA,47000000000,NA,NA,2200,4,1.9,133.6,4.1,1346,RTECSVW0400000,,p,14,3,Metalloid,[Ne]3s23p2,Gray,,CAS7440-21-3,CID5461123,Semiconductor,1000,0.001,NA,Diamagnetic,NA,NA,NA,-3.73e-6,0.07,0.09,14,27,1e-4,0.026,1.1099999999999999e-10,1.1099999999999999e-10,2.1e-10,"Fd_
3m",227,Inf,Inf,,3P0,0.166,2e-4,423.15,NA,-9055,Gmelin61188,6309573445,2.512,3,14,14,Metalloid
Phosphorus,P,15,30.973761,1823,317.34999999999997,553.65,Solid,317.3,553.6,NA,NA,0.64,12.4,769.7,,NA,0.236,NA,NA,1.6991e-5,NA,NA,NA,11000000000,NA,NA,NA,1.001212,NA,5,2.19,71,4.1,NA,RTECSTH3495000,,p,15,3,Nonmetal,[Ne]3s23p3,Colorless,,CAS7723-14-0,CID5462309,Conductor,10000000,1e-7,NA,Diamagnetic,NA,NA,NA,-2.06e-5,7e-4,7e-4,0.11,0.099,7e-6,1.1,9.8e-11,1.0699999999999999e-10,1.8e-10,P-1,2,Inf,Inf,,4S3/2,0.18,2e-4,573.15,NA,NA,Gmelin8863,31622776602,0.5248,3,15,15,Nonmetal
Sulfur,S,16,32.065,1960,388.35999999999996,717.87,Solid,388.36,717.87,20700000,1314,1.73,9.8,705,,NA,0.205,NA,1819,1.6357e-5,NA,2,NA,7700000000,NA,NA,NA,1.001111,NA,6,2.58,200,NA,NA,RTECSWS4250000,Sulphur,p,16,3,Chalcogen,[Ne]3s23p4,Yellow,,CAS7704-34-9,CID5362487,Insulator,1e-15,1e15,NA,Diamagnetic,NA,NA,NA,-1.22e-5,0.05,0.04,4,0.042,0.093,0.2,8.7e-11,1.05e-10,1.8e-10,Fddd,70,Inf,Inf,,3P2,0.52,5.5e-4,NA,NA,NA,NA,63095734448,0.1995,3,16,16,Chalcogen
Chlorine,Cl,17,35.453,3.214,171.64999999999998,239.10999999999999,Gas,171.6,239.11,7991000,416.9,3.2,10.2,478.2,7/5,NA,0.0089,NA,NA,0.01103,NA,NA,NA,1100000000,NA,NA,NA,1.000773,206,5,3.16,349,NA,NA,RTECSFO2100000,,p,17,3,Halogen,[Ne]3s23p5,Yellow,Diatomic,CAS7782-50-5,CID24526,Insulator,0.01,100,NA,Diamagnetic,NA,NA,NA,-2.31e-8,1e-4,8e-4,0.037,0.017,2,0.12,7.9e-11,1.02e-10,1.75e-10,Cmca,64,Inf,Inf,,2P3/2,35.3,0.033,NA,NA,NA,NA,50118723363,NA,3,17,17,Halogen
Argon,Ar,18,39.948,1.784,83.84999999999997,87.34999999999997,Gas,83.8,87.3,4898000,150.87,1.18,6.5,520.33,5/3,NA,0.01772,NA,NA,0.022392,NA,NA,NA,NA,NA,NA,NA,1.000281,319,0,NA,0,2.2,1951,RTECSCF2300000,,p,18,3,Noble Gas,[Ne]3s23p6,Colorless,Monoatomic,CAS7440-37-1,CID23968,,NA,NA,NA,Diamagnetic,NA,NA,NA,-1.07e-8,0.02,0.007,NA,1.5e-4,4.5e-5,NA,7.1e-11,1.06e-10,1.88e-10,"Fm_
3m",225,Inf,Inf,,1S0,0.66,5.9e-4,NA,NA,NA,Gmelin821,3162277660,0.6166,3,18,18,Noble Gas
Potassium,K,19,39.0983,856,336.53,1032.15,Solid,336.53,1032,16000000,2223,2.33,76.9,757,,NA,100,NA,828,4.568e-5,363000,0.4,NA,3100000000,1300000000,NA,NA,NA,2000,1,0.82,48.4,4.3,2257,RTECSTS6460000,Kalium,s,1,4,Alkali Metal,[Ar]4s1,Silver,,CAS7440-09-7,CID5462222,Conductor,14000000,7.000000000002e-8,NA,Paramagnetic,NA,NA,NA,5.74e-6,3e-4,4e-4,0.07,1.5,0.042,0.2,2.43e-10,2.03e-10,2.75e-10,"Im_
3m",229,Inf,Inf,,2S1/2,2.1,0.0018,713.15,NA,-182,Gmelin15203,25118864315,NA,4,1,19,Alkali Metal
Calcium,Ca,20,40.078,1550,1115.15,1757.15,Solid,1115,1757,NA,NA,8.54,155,631,,NA,200,2.23e-5,1378,2.5857e-5,167000000,1.75,NA,17000000000,7400000000,20000000000,0.31,NA,3810,2,1,2.37,4.2,1855,,,s,2,4,Alkaline Earth Metal,[Ar]4s2,Silver,,CAS7440-70-2,CID5460341,Conductor,29000000,3.399999999999e-8,NA,Paramagnetic,NA,NA,NA,2.139e-5,0.007,0.007,1.1,5,4.2e-4,1.4,1.94e-10,1.7599999999999999e-10,NA,"Fm_
3m",225,Inf,Inf,,1S0,0.43,3.7e-4,NA,NA,-990,Gmelin16277,31622776602,NA,4,2,20,Alkaline Earth Metal
Scandium,Sc,21,44.95591,2985,1814.15,3103.15,Solid,1814,3103,NA,NA,16,318,567,,NA,16,1.02e-5,2800,1.5061e-5,750000000,NA,NA,57000000000,29000000000,74000000000,0.28,NA,NA,3,1.36,18.1,4.1,3089,,,d,3,4,Transition Metal,[Ar]4s23d1,Silver,,CAS7440-20-2,CID23952,Conductor,1800000,5.5e-7,0.05,Paramagnetic,NA,NA,NA,2.627e-4,3e-6,4e-6,6.4e-4,0.0026,1.5e-10,NA,1.8399999999999998e-10,1.7e-10,NA,P63/mmc,194,Inf,Inf,,2D3/2,27.2,0.025,NA,NA,NA,Gmelin16304,1995,1259,4,3,21,Transition Metal
Titanium,Ti,22,47.867,4507,1941.15,3560.15,Solid,1941,3560,NA,NA,18.7,425,520,,NA,22,8.6e-6,4110,1.0621e-5,715000000,6,970000000,110000000000,44000000000,116000000000,0.32,NA,4140,4,1.54,7.6,4.2,2546,,,d,4,4,Transition Metal,[Ar]4s23d2,Silver,,CAS7440-32-6,CID23963,Conductor,2500000,4e-7,0.4,Paramagnetic,NA,NA,NA,1.807e-4,3e-4,4e-4,0.054,0.66,1e-7,NA,1.7599999999999999e-10,1.6e-10,NA,P63/mmc,194,Inf,Inf,,3F2,6.1,0.0044,523.15,NA,NA,Gmelin16313,2630267992,25.12,4,4,22,Transition Metal
Vanadium,V,23,50.9415,6110,2183.15,3680.15,Solid,2183,3680,NA,NA,22.8,453,489,,NA,31,8.4e-6,5500,8.3374000000000008e-06,628000000,7,628000000,160000000000,47000000000,128000000000,0.37,NA,4560,5,1.63,50.6,4.1,3089,,,d,5,4,Transition Metal,[Ar]4s23d3,Silver,,CAS7440-62-2,CID23990,Conductor,5000000,2e-7,5.4,Paramagnetic,NA,NA,NA,3.837e-4,1e-4,4e-5,0.0061,0.019,1.5e-7,3e-6,1.71e-10,1.53e-10,NA,"Im_
3m",229,Inf,Inf,,4F3/2,5.06,0.0033,NA,NA,NA,Gmelin49047,63095734,25.12,4,5,23,Transition Metal
Chromium,Cr,24,51.9961,7190,2180.15,2944.15,Solid,2180,2944,NA,NA,20.5,339,448,,393,94,4.9e-6,6300,7.2317e-6,1120000000,8.5,1060000000,160000000000,115000000000,279000000000,0.21,NA,5940,6,1.66,64.3,4.1,3089,RTECSGB4200000,,d,6,4,Transition Metal,[Ar]4s13d5,Silver,,CAS7440-47-3,CID23976,Conductor,7900000,1.3e-7,NA,Antiferromagnetic,NA,NA,NA,3.177e-4,0.0015,0.002,0.3,0.014,6e-8,3e-6,1.66e-10,1.3899999999999999e-10,NA,"Im_
3m",229,Inf,Inf,,7S3,3.1,0.0021,673.15,NA,NA,Gmelin16274,19952623150,2.512,4,6,24,Transition Metal
Manganese,Mn,25,54.938049,7470,1519.15,2334.15,Solid,1519,2334,NA,NA,13.2,220,479,,100,7.7,2.17e-5,5950,7.3545e-6,196000000,6,NA,120000000000,NA,198000000000,NA,NA,5150,4,1.55,0,4.1,3089,,,d,7,4,Transition Metal,[Ar]4s23d5,Silver,,CAS7439-96-5,CID23930,Conductor,620000,1.6e-6,NA,Paramagnetic,NA,NA,NA,9.0387e-4,8e-4,0.001,0.27,0.11,2e-7,2e-5,1.6099999999999999e-10,1.3899999999999999e-10,NA,"I_
43m",217,Inf,Inf,,6S5/2,13.3,0.0083,NA,NA,NA,Gmelin699,12589254118,3.981,4,7,25,Transition Metal
Iron,Fe,26,55.845,7874,1811.15,3134.15,Solid,1811,3134,NA,NA,13.8,347,449,,NA,79,1.18e-5,6980,7.0923e-6,490000000,4,608000000,170000000000,82000000000,211000000000,0.29,NA,4910,3,1.83,15.7,4.1,3089,RTECSNO4565500,Ferrum,d,8,4,Transition Metal,[Ar]4s23d6,Gray,,CAS7439-89-6,CID23925,Conductor,10000000,9.700000000001e-8,NA,Ferromagnetic,1043,NA,NA,NA,0.11,0.1,22,6.3,3e-7,0.006,1.56e-10,1.32e-10,NA,"Im_
3m",229,Inf,Inf,,5D4,2.56,0.0015,373.15,NA,NA,Gmelin6845,2511886431510,0.5754,4,8,26,Transition Metal
Cobalt,Co,27,58.9332,8900,1768.15,3200.15,Solid,1768,3200,NA,NA,16.2,375,421,,NA,100,1.3e-5,7750,6.62e-6,700000000,5,1043000000,180000000000,76000000000,209000000000,0.31,NA,4720,4,1.88,63.7,4.1,3089,RTECSGF8750000,,d,9,4,Transition Metal,[Ar]4s23d7,Gray,,CAS7440-48-4,CID104730,Conductor,17000000,6.000000000002e-8,NA,Ferromagnetic,1394,NA,NA,NA,3e-4,4e-4,0.059,0.003,8e-9,2e-6,1.52e-10,1.26e-10,NA,P63/mmc,194,Inf,Inf,,4F9/2,37.2,0.021,NA,NA,NA,Gmelin49017,79432823,39.81,4,9,27,Transition Metal
Nickel,Ni,28,58.6934,8908,1728.15,3186.15,Solid,1728,3186,NA,NA,17.2,378,445,,NA,91,1.34e-5,7810,6.5888e-6,700000000,4,638000000,180000000000,76000000000,200000000000,0.31,NA,4970,2,1.91,112,4.1,3089,RTECSQR5950000,,d,10,4,Transition Metal,[Ar]4s23d8,Gray,,CAS7440-02-0,CID935,Conductor,14000000,7.000000000002e-8,NA,Ferromagnetic,631,NA,NA,NA,0.006,0.008,1.3,0.009,2e-7,1e-5,1.49e-10,1.2399999999999999e-10,1.63e-10,"Fm_
3m",225,Inf,Inf,,3F4,4.5,0.0026,NA,NA,NA,Gmelin16229,1258925412,19.95,4,10,28,Transition Metal
Copper,Cu,29,63.546,8960,1357.77,2835.15,Solid,1357.77,3200,NA,NA,13.1,300,384.4,,NA,400,1.65e-5,8020,7.0922e-6,874000000,3,369000000,140000000000,48000000000,130000000000,0.34,NA,3570,2,1.9,118.4,4.1,3089,RTECSGL5325000,Cuprum,d,11,4,Transition Metal,[Ar]4s13d10,Copper,,CAS7440-50-8,CID23978,Conductor,59000000,1.7e-8,NA,Diamagnetic,NA,NA,NA,-9.63e-6,6e-6,7e-5,0.011,0.0068,3e-7,1e-4,1.45e-10,1.32e-10,1.4e-10,"Fm_
3m",225,Inf,Inf,,2S1/2,3.78,0.0021,NA,NA,NA,Gmelin16269,15848931925,7.943,4,11,29,Transition Metal
Zinc,Zn,30,65.409,7140,692.68,1180.15,Solid,692.68,1180,NA,NA,7.35,119,388,,NA,120,3.02e-5,6570,9.157e-6,412000000,2.5,NA,70000000000,43000000000,108000000000,0.25,1.00205,3700,2,1.65,0,4.3,1436,RTECSZG8600000,,d,12,4,Transition Metal,[Ar]4s23d10,SlateGray,,CAS7440-66-6,CID23994,Conductor,17000000,5.900000000001e-8,0.85,Diamagnetic,NA,NA,NA,-1.58e-5,3e-5,2e-4,0.018,0.0078,5e-7,0.0033,1.42e-10,1.22e-10,1.3899999999999999e-10,P63/mmc,194,Inf,Inf,,1S0,1.1,5.5e-4,733.15,NA,NA,Gmelin16321,12589254118,1.82,4,12,30,Transition Metal
Gallium,Ga,31,69.723,5904,302.90999999999997,2477.15,Solid,302.91,2477,NA,NA,5.59,256,371,,NA,29,1.2e-4,6095,1.1809e-5,60000000,1.5,NA,NA,NA,NA,NA,NA,2740,3,1.81,28.9,8,2803,RTECSLW8600000,,p,13,4,Poor Metal,[Ar]4s23d104p1,Silver,,CAS7440-55-3,CID5360835,Conductor,7100000,1.4e-7,1.083,Diamagnetic,NA,NA,NA,-1.77e-5,1e-6,4e-6,7.6e-4,0.0019,3e-9,NA,1.36e-10,1.22e-10,1.87e-10,Cmca,64,Inf,Inf,,2P1/2,2.9,0.0015,NA,NA,NA,Gmelin16287,125893,794.3,4,13,31,Poor Metal
Germanium,Ge,32,72.64,5323,1211.4499999999998,3093.15,Solid,1211.4,3093,NA,NA,31.8,334,321.4,,NA,60,6e-6,5600,1.3645e-5,7273402498.870999,6,8012033050,NA,NA,NA,NA,NA,5400,4,2.01,119,4.1,3089,RTECSLY5200000,,p,14,4,Metalloid,[Ar]4s23d104p2,Gray,,CAS7440-56-4,CID6326954,Semiconductor,2000,5e-4,NA,Diamagnetic,NA,NA,NA,-7.98e-6,2e-5,2e-5,0.0021,1.4e-4,6e-9,NA,1.25e-10,1.2e-10,NA,"Fm_
3m",225,Inf,Inf,,3P0,2.2,0.0011,NA,NA,-536,Gmelin93634,125893,1585,4,14,32,Metalloid
Arsenic,As,33,74.9216,5727,1090.15,887.15,Solid,1090,887,NA,NA,27.7,32.4,328,,NA,50,NA,5220,1.3082e-5,1440000000,3.5,1510000000,22000000000,NA,8000000000,NA,1.001552,NA,5,2.18,78,6.1,1558,RTECSCG0525000,,p,15,4,Metalloid,[Ar]4s23d104p3,Silver,,CAS7440-38-2,CID5359596,Conductor,3300000,3e-7,NA,Diamagnetic,NA,NA,NA,-2.23e-5,8e-7,NA,1.8e-4,2.1e-4,2.3e-7,5e-6,1.14e-10,1.19e-10,1.85e-10,"R_
3m",166,Inf,Inf,,4S3/2,4.2,0.002,NA,NA,NA,Gmelin16247,39810717,1.622,4,15,33,Metalloid
Selenium,Se,34,78.96,4819,494.15,958.15,Solid,494,958,27200000,1766,5.4,26,321.2,,NA,0.52,NA,3990,1.6387e-5,736000000,2,NA,8300000000.000001,3700000000,10000000000,0.33,1.000895,3350,6,2.55,195,6.1,2658,RTECSVS7700000,,p,16,4,Chalcogen,[Ar]4s23d104p4,Gray,,CAS7782-49-2,CID6326970,,NA,NA,NA,Diamagnetic,NA,NA,NA,-1.93e-5,3e-6,NA,0.0013,5e-6,4.5e-8,5e-6,1.0299999999999999e-10,1.2e-10,1.9e-10,P121/c1,14,Inf,Inf,,3P2,11.7,0.0056,NA,NA,NA,Gmelin8872,2511886,125.9,4,16,34,Chalcogen
Bromine,Br,35,79.904,3120,265.84999999999997,332.15,Liquid,265.8,332,10340000,588,5.8,14.8,947.3,,NA,0.12,NA,3120,2.561e-5,NA,NA,NA,1900000000,NA,NA,NA,1.001132,NA,5,2.96,324.6,8,1744,RTECSEF9100000,,p,17,4,Halogen,[Ar]4s23d104p5,Red,,CAS7726-95-6,CID24408,Insulator,1e-10,10000000000,NA,Diamagnetic,NA,NA,NA,-1.53e-5,7e-7,NA,1.2e-4,3e-4,0.0066,2.9e-4,9.4e-11,1.2e-10,1.85e-10,Cmca,64,Inf,Inf,,2P3/2,6.8,0.002,NA,NA,NA,Gmelin1182,630957344,1.995,4,17,35,Halogen
Krypton,Kr,36,83.798,3.75,115.78999999999996,119.92999999999998,Gas,115.79,119.93,5500000,209.41,1.64,9.02,248.05,5/3,NA,0.00943,NA,NA,0.02235,NA,NA,NA,NA,NA,NA,NA,1.000427,1120,2,3,0,2.2,1970,RTECSOC6772500,,p,18,4,Noble Gas,[Ar]4s23d104p6,Colorless,Monoatomic,CAS7439-90-9,CID5416,,NA,NA,NA,Diamagnetic,NA,NA,NA,-1.65e-8,4e-6,NA,NA,1.5e-8,2.1e-8,NA,8.7e-11,1.16e-10,2.02e-10,"Fm_
3m",225,Inf,Inf,,1S0,25,0.013,NA,NA,NA,Gmelin16201,398107,398.1,4,18,36,Noble Gas
