Name,Symbol,Atomic_Number,Atomic_Weight,Density,Melting_Point,Boiling_Point,Phase,Absolute_Melting_Point,Absolute_Boiling_Point,Critical_Pressure,Critical_Temperature,Heat_of_Fusion,Heat_of_Vaporization,Specific_Heat,Adiabatic_Index,Neel_Point,Thermal_Conductivity,Thermal_Expansion,Density_Liquid,Molar_Volume,Brinell_Hardness,Mohs_Hardness,Vickers_Hardness,Bulk_Modulus,Shear_Modulus,Young_Modulus,Poisson_Ratio,Refractive_Index,Speed_of_Sound,Valence,Electronegativity,ElectronAffinity,DOT_Hazard_Class,DOT_Numbers,RTECS_Number,Alternate_Names,Block,Group,Period,Series,Electron_Configuration,Color,Gas_phase,CAS_Number,CID_Number,Electrical_Type,Electrical_Conductivity,Resistivity,Superconducting_Point,Magnetic_Type,Curie_Point,Mass_Magnetic_Susceptibility,Molar_Magnetic_Susceptibility,Volume_Magnetic_Susceptibility,Percent_in_Universe,Percent_in_Sun,Percent_in_Meteorites,Percent_in_Earths_Crust,Percent_in_Oceans,Percent_in_Humans,Atomic_Radius,Covalent_Radius,Van_der_Waals_Radius,Space_Group_Name,Space_Group_Number,HalfLife,Lifetime,Decay_Mode,Quantum_Numbers,Neutron_Cross_Section,Neutron_Mass_Absorption
Meitnerium,Mt,109,268[note],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,d,9,7,Transition Metal,[Rn]7s25f146d7[note],N/A,N/A,CAS54038-01-6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0%,0%,0%,0%,0%,N/A,N/A,N/A,N/A,N/A,30 m,43.33333333333 m,AlphaEmission,4F9/2[note],N/A,N/A
Darmstadtium,Ds,110,281[note],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,d,10,7,Transition Metal,[Rn]7s15f146d9[note],N/A,N/A,CAS54083-77-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0%,0%,0%,0%,0%,N/A,N/A,N/A,N/A,N/A,4 m,5.833333333333 m,AlphaEmission,3D3[note],N/A,N/A
Roentgenium,Rg,111,272[note],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,d,11,7,Transition Metal,[Rn]7s15f146d10[note],N/A,N/A,CAS54386-24-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0%,0%,0%,0%,0%,N/A,N/A,N/A,N/A,N/A,10 m,14.5 m,AlphaEmission,2S1/2[note],N/A,N/A
Copernicium,Cn,112,NA,N/A,N/A,N/A,N/A,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,d,12,7,Transition Metal,[Rn]7s25f146d10[note],N/A,N/A,CAS54084-26-3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0%,0%,0%,0%,0%,N/A,N/A,N/A,N/A,N/A,40 m,58.33333333333 m,AlphaEmission,1S0[note],N/A,N/A
Nihonium,Nh,113,NA,N/A,N/A,N/A,N/A,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,p,13,7,Poor Metal[note],[Rn]7s25f146d107p1[note],N/A,N/A,CAS54084-70-7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0%,0%,0%,0%,0%,N/A,N/A,N/A,N/A,N/A,20 m,28.33333333333 m,AlphaEmission,2P1/2[note],N/A,N/A
Flerovium,Fl,114,NA,N/A,N/A,N/A,N/A,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,p,14,7,Poor Metal[note],[Rn]7s25f146d107p2[note],N/A,N/A,CAS54085-16-4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0%,0%,0%,0%,0%,N/A,N/A,N/A,N/A,N/A,1.316666666667 m,2 m,AlphaEmission,3P0[note],N/A,N/A
Moscovium,Mc,115,NA,N/A,N/A,N/A,N/A,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,p,15,7,Poor Metal[note],[Rn]7s25f146d107p3[note],N/A,N/A,CAS54085-64-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0%,0%,0%,0%,0%,N/A,N/A,N/A,N/A,N/A,1 m,1.5 m,AlphaEmission,4S3/2[note],N/A,N/A
Livermorium,Lv,116,NA,N/A,N/A,N/A,N/A,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,p,16,7,Poor Metal[note],[Rn]7s25f146d107p4[note],N/A,N/A,CAS54100-71-9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0%,0%,0%,0%,0%,N/A,N/A,N/A,N/A,N/A,120 ms,173 ms,AlphaEmission,3P2[note],N/A,N/A
Tennessine,Ts,117,NA,N/A,N/A,N/A,N/A,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,p,17,7,Halogen[note],[Rn]7s25f146d107p5[note],N/A,N/A,CAS87658-56-8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0%,0%,0%,0%,0%,N/A,N/A,N/A,N/A,N/A,50 ms,72 ms,N/A,2P3/2[note],N/A,N/A
Oganesson,Og,118,NA,N/A,N/A,N/A,N/A,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,p,18,7,Noble Gas,[Rn]7s25f146d107p6[note],N/A,N/A,CAS54144-19-3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0%,0%,0%,0%,0%,N/A,N/A,N/A,N/A,N/A,5 ms,7 ms,AlphaEmission,1S0[note],N/A,N/A
