Name,Symbol,Atomic_Number,Atomic_Weight,Density,Melting_Point,Boiling_Point,Phase,Absolute_Melting_Point,Absolute_Boiling_Point,Critical_Pressure,Critical_Temperature,Heat_of_Fusion,Heat_of_Vaporization,Specific_Heat,Adiabatic_Index,Neel_Point,Thermal_Conductivity,Thermal_Expansion,Density_Liquid,Molar_Volume,Brinell_Hardness,Mohs_Hardness,Vickers_Hardness,Bulk_Modulus,Shear_Modulus,Young_Modulus,Poisson_Ratio,Refractive_Index,Speed_of_Sound,Valence,Electronegativity,ElectronAffinity,DOT_Hazard_Class,DOT_Numbers,RTECS_Number,Alternate_Names,Block,Group,Period,Series,Electron_Configuration,Color,Gas_phase,CAS_Number,CID_Number,Electrical_Type,Electrical_Conductivity,Resistivity,Superconducting_Point,Magnetic_Type,Curie_Point,Mass_Magnetic_Susceptibility,Molar_Magnetic_Susceptibility,Volume_Magnetic_Susceptibility,Percent_in_Universe,Percent_in_Sun,Percent_in_Meteorites,Percent_in_Earths_Crust,Percent_in_Oceans,Percent_in_Humans,Atomic_Radius,Covalent_Radius,Van_der_Waals_Radius,Space_Group_Name,Space_Group_Number,HalfLife,Lifetime,Decay_Mode,Quantum_Numbers,Neutron_Cross_Section,Neutron_Mass_Absorption
Actinium,Ac,89,227[note],10.07 g/cm3,1050 °C,3200 °C,Solid,1323 K,3473 K,N/A,N/A,14 kJ/mol,400 kJ/mol,120 J/(kg K)[note],N/A,N/A,12 W/(m K),N/A,N/A,0.00002254220456802,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,1.1,N/A,N/A,N/A,N/A,None,f,N/A,7,Actinide,[Rn]7s26d1,Silver,N/A,CAS7440-34-8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0%,N/A,N/A,N/A,0%,N/A,215 pm,N/A,"Fm_
3m",225,21.78652968037 y,31.43106291223 y,BetaDecay,2D3/2,880,0.078
Thorium,Th,90,232.0381,11.724 g/cm3,1750 °C,4820 °C,Solid,2023 K,5093 K,N/A,N/A,16 kJ/mol,530 kJ/mol,118 J/(kg K)[note],N/A,N/A,54 W/(m K),0.000011 K-1,N/A,0.0000197917,400 MPa,3,350 MPa,54 GPa,31 GPa,79 GPa,0.27,N/A,2490 m/s,4,1.3,N/A,7,2975,RTECSXO6400000,None,f,N/A,7,Actinide,[Rn]7s26d2,Silver,N/A,CAS7440-29-1,CID23960,Conductor,6.7×106 S/m,1.5×10-7 m Ω,1.38,Paramagnetic,N/A,7.2×10-9 m3/Kg,1.7×10-9 m3/mol,0.000084,4×10-8%,3×10-8%,3.9×10-6%,0.0006%,4×10-12%,0%,N/A,206 pm,N/A,"Fm_
3m",225,1.40601217656×1010 y,2.028475393201×1010 y,AlphaEmission,3F2,7.4,0.001
Protactinium,Pa,91,231.03588,15.37 g/cm3,1572 °C,4000 °C,Solid,1845 K,4273 K,N/A,N/A,15 kJ/mol,470 kJ/mol,99.1 J/(kg K)[note],N/A,N/A,47 W/(m K),N/A,N/A,0.0000150316,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1.5,N/A,N/A,N/A,N/A,None,f,N/A,7,Actinide,[Rn]7s25f26d1,Silver,N/A,CAS7440-13-3,N/A,Conductor,5.6×106 S/m,1.8×10-7 m Ω,1.41,Paramagnetic,N/A,3.25×10-8 m3/Kg,7.509×10-9 m3/mol,0.0004995,N/A,N/A,N/A,9.9×10-13%,2×10-23%,0%,N/A,200 pm,N/A,I4/mmm,139,32787.92491121 y,47279.29984779 y,AlphaEmission,4K11/2,200,N/A
Uranium,U,92,238.02891,19.05 g/cm3,1135 °C,3927 °C,Solid,1408 K,4.2×103 K,N/A,N/A,14 kJ/mol,420 kJ/mol,116 J/(kg K)[note],N/A,N/A,27 W/(m K),0.0000139 K-1,17.3 g/cm3,0.000012495,2400 MPa,6,1960 MPa,100 GPa,111 GPa,208 GPa,0.23,N/A,3155 m/s,6,1.38,N/A,7,2979,RTECSYR3490000,None,f,N/A,7,Actinide,[Rn]7s25f36d1,Silver,N/A,CAS7440-61-1,CID23989,Conductor,3.6×106 S/m,2.8×10-7 m Ω,0.69,Paramagnetic,N/A,2.16×10-8 m3/Kg,5.14×10-9 m3/mol,0.000411,2×10-8%,1×10-7%,9.8×10-7%,0.00018%,3.3×10-7%,1×10-7%,N/A,196 pm,186 pm,Cmcm,63,4.471080669711×109 y,6.449771689498×109 y,AlphaEmission,5L6,7.57,0.0005
Neptunium,Np,93,237[note],20.45 g/cm3,644 °C,4000 °C,Solid,917 K,4273 K,N/A,N/A,10 kJ/mol,335 kJ/mol,N/A,N/A,N/A,6 W/(m K),N/A,N/A,0.00001158924205379,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,1.36,N/A,N/A,N/A,N/A,None,f,N/A,7,Actinide,[Rn]7s25f46d1,Silver,N/A,CAS7439-99-8,N/A,Conductor,830000 S/m,1.2×10-6 m Ω,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0%,0%,0%,0%,0%,N/A,190 pm,N/A,Pnma,62,2.145484525622×106 y,3.095192795535×106 y,AlphaEmission,6L11/2,180,N/A
Plutonium,Pu,94,244[note],19.816 g/cm3,640 °C,3230 °C,Solid,913 K,3503 K,N/A,N/A,N/A,325 kJ/mol,N/A,N/A,N/A,6 W/(m K),N/A,16.63 g/cm3,0.00001231328219621,N/A,N/A,N/A,N/A,43 GPa,96 GPa,0.21,N/A,2260 m/s,6,1.28,N/A,N/A,N/A,N/A,None,f,N/A,7,Actinide,[Rn]7s25f6,Silver,N/A,CAS7440-07-5,CID23940,Conductor,670000 S/m,1.5×10-6 m Ω,N/A,Paramagnetic,N/A,3.17×10-8 m3/Kg,7.735×10-9 m3/mol,0.0006282,N/A,0%,0%,0%,0%,0%,N/A,187 pm,N/A,P121/m1,11,7.927447995941×107 y,1.141552511416×108 y,AlphaEmission,7F0,1.7,N/A
Americium,Am,95,243[note],13.67 g/cm3,1176 °C,2011 °C,Solid,1449 K,2284 K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10 W/(m K),N/A,N/A,0.00001777615215801,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,1.3,N/A,N/A,N/A,N/A,None,f,N/A,7,Actinide,[Rn]7s25f7,Silver,N/A,CAS7440-35-9,N/A,N/A,N/A,N/A,0.6,Paramagnetic,N/A,5.15×10-8 m3/Kg,1.251×10-8 m3/mol,0.000704,N/A,0%,0%,0%,0%,0%,N/A,180 pm,N/A,P63/mmc,194,7388.381532217 y,10654.49010654 y,AlphaEmission,8S7/2,74,N/A
Curium,Cm,96,247[note],13.51 g/cm3,1345 °C,3110 °C,Solid,1618 K,3383 K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00001828275351591,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,1.3,N/A,N/A,N/A,N/A,None,f,N/A,7,Actinide,[Rn]7s25f76d1,Silver,N/A,CAS7440-51-9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0%,0%,0%,0%,0%,N/A,169 pm,N/A,P63/mmc,194,1.560121765601×107 y,2.251395230847×107 y,AlphaEmission,9D2,60,N/A
Berkelium,Bk,97,247[note],14.78 g/cm3,1050 °C[note],N/A,Solid,1323 K[note],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10 W/(m K),N/A,N/A,0.00001671177266576,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,1.3,N/A,N/A,N/A,N/A,None,f,N/A,7,Actinide,[Rn]7s25f9,N/A,N/A,CAS7440-40-6,CID23971,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0%,0%,0%,0%,0%,N/A,N/A,N/A,P63/mmc,194,1379.375951294 y,1991.37493658 y,AlphaEmission,6H15/2,710,N/A
Californium,Cf,98,251[note],15.1 g/cm3,900 °C,N/A,Solid,1173 K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00001662251655629,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,1.3,N/A,N/A,N/A,N/A,None,f,N/A,7,Actinide,[Rn]7s25f10,N/A,N/A,CAS7440-71-3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0%,0%,0%,0%,0%,N/A,N/A,N/A,P63/mmc,194,900.5580923389 y,1300.101471334 y,AlphaEmission,5I8,2.9×103,N/A
